name,mid,weight
The Boat That Rocked,/m/03ydlnj,20769.0
Jayantabhai Ki Luv Story,/m/0knc79s,20698.0
The Godfather Part II,/m/0jsf6,20674.0
Ladies vs Ricky Bahl,/m/0ggbfw1,20670.0
Cars,/m/03q0r1,20664.0
Queen of the Damned,/m/027x7z5,20648.0
Anwar,/m/03cj7_l,20627.0
Gadar: Ek Prem Katha,/m/0d7qzs,20574.0
Singam,/m/05b6r_p,20573.0
Bridesmaids,/m/0ds35l9,20572.0
Yaadein,/m/01mz8l6,20555.0
New Moon,/m/05pdh86,20528.0
Sirf Tum,/m/0kt_zs,20466.0
Main Hoon Na,/m/052_mn,20401.0
Toy Story,/m/0dyb1,20354.0
Office Space,/m/0nrnk,20322.0
Practical Magic,/m/0m9tw,20228.0
The Beach,/m/0cnz15,20200.0
Dil Se,/m/05xfj0,20191.0
Rent,/m/04j14qc,20171.0
Matru Ki Bijlee Ka Mandola,/m/0h69217,20170.0
The Lorax,/m/087wc7n,20096.0
Don,/m/0cxs5f,20069.0
Wanted,/m/02w92pc,19965.0
The Muppets,/m/0ds5_72,19960.0
Don 2,/m/041388m,19942.0
Jaan,/m/0czd4b6,19914.0
Ishq,/m/0bc_v_,19862.0
Ustad Hotel,/m/0j674kn,19779.0
Addams Family Values,/m/03kxj2,19690.0
Scott Pilgrim vs. the World,/m/05t0_2v,19661.0
That's My Boy,/m/0gwgn1k,19640.0
Easy A,/m/0b7h_57,19637.0
Haunted,/m/0gfgs5h,19592.0
Billa 2,/m/0gg5cm4,19567.0
Crook,/m/0cn_n1k,19550.0
Old School,/m/03vv1f,19544.0
Kites,/m/03yj5h9,19531.0
The Hunger Games: Catching Fire,/m/0n40qmp,19523.0
Notting Hill,/m/01cz7r,19472.0
Beetlejuice,/m/01qxc7,19425.0
Friday,/m/016rw2,19365.0
Aarya,/m/0f1wtn,19361.0
Welcome,/m/0f3kpd,19352.0
Thattathin Marayathu,/m/0jwxxh_,19312.0
Blood Money,/m/0h3lyrs,19281.0
Joyful Noise,/m/0g54bw9,19253.0
Samar,/m/0h7l4r9,19232.0
Sholay,/m/02_cxl,19178.0
David,/m/0pc3133,19118.0
xXx,/m/025n07,19048.0
We Bought a Zoo,/m/0ds1glg,19032.0
Qurbaan,/m/0641k3f,19009.0
Annie,/m/02x6dqb,18992.0
Tadakha,/m/0k943qy,18974.0
Saawariya,/m/0dbpd_,18957.0
Here Comes the Boom,/m/0gh9fjz,18813.0
Silsila,/m/046drj,18763.0
Chandni,/m/0bkfv_,18647.0
Shaan,/m/0czhn5,18608.0
Deewana,/m/05d4wt,18543.0
Jaanemann,/m/07w468,18536.0
1920,/m/04grz8t,18524.0
Jaane Tu Ya Jaane Na,/m/02r4n63,18492.0
Mohra,/m/09yds2,18420.0
Aiyyaa,/m/0h94f26,18400.0
Braveheart,/m/01gc7,18361.0
Dreamgirls,/m/0b1y_2,18359.0
My Name is Khan,/m/04q00lw,18315.0
2 Fast 2 Furious,/m/024lff,18313.0
Dear John,/m/05b08zq,18288.0
The Parent Trap,/m/07ntq,18281.0
Salaam-e-Ishq: A Tribute to Love,/m/09lgg5,18279.0
The Dukes of Hazzard,/m/033f8n,18190.0
Beautiful Creatures,/m/0n4fyx6,18177.0
Salaam Namaste,/m/072mk4,18118.0
The Sandlot,/m/06jyr2,18073.0
Ishq,/m/0h3pbg3,18044.0
Boyfriend,/m/05gp13,17960.0
The Prince of Egypt,/m/02ctc6,17951.0
Life of Pi,/m/0fpv_3_,17920.0
Goodfellas,/m/0h6r5,17887.0
Khalnayak,/m/08gwlp,17757.0
My Best Friend's Wedding,/m/01pgnr,17715.0
Hungama,/m/0874xs,17679.0
21 Jump Street,/m/0bq8tmw,17676.0
Ameerin Aadhi Baghavan,/m/0bbyrgj,17673.0
Patiala House,/m/09gkl74,17670.0
David,/m/0hzpjzd,17663.0
Ajab Gazabb Love,/m/0l8nqgt,17623.0
Teen Wolf,/m/032003,17566.0
Endhiran,/m/02w86hz,17552.0
Chori Chori Chupke Chupke,/m/04sx85,17516.0
Alex Pandian,/m/0j3dmw0,17421.0
Jeans,/m/034f24,17395.0
G.I. Joe: Retaliation,/m/0gwlfnb,17360.0
Minnale,/m/0984ly,17275.0
Billu,/m/03y1slx,17271.0
Tanu Weds Manu,/m/080km0p,17236.0
Kettavan,/m/02ps362,17191.0
The Reluctant Fundamentalist,/m/0h870ns,17186.0
Mean Girls,/m/02xtxw,17175.0
Anwar,/m/0b77gc6,17153.0
Seeking a Friend for the End of the World,/m/0gx1bnj,17125.0
Swamy Ra Ra,/m/0n49p_k,17121.0
Gentleman,/m/071xlx,17089.0
Mortal Kombat,/m/03wj_q,17035.0
Kurbaan,/m/0kvd7g,17022.0
You Were Made for Love,/m/0d1ldp,16984.0
Up,/m/02rn00y,16967.0
Father of the Bride,/m/03bb5m,16929.0
Anastasia,/m/01pvxl,16891.0
My Heart Is Yours,/m/080lvp,16842.0
Blow,/m/0n_hp,16842.0
Kyaa Super Kool Hain Hum,/m/0gmfrny,16812.0
Bhool Bhulaiyaa,/m/0283wdn,16782.0
Baghban,/m/09gkfq8,16755.0
Sillunu Oru Kaadhal,/m/09kp5p,16744.0
Alice in Wonderland,/m/04jpg2p,16725.0
Jism,/m/0dl545l,16701.0
Swades,/m/04v2gp,16697.0
Chalte Chalte,/m/04w3vr,16642.0
Toy Story 2,/m/01xdxy,16487.0
Toy Story 3,/m/04hwbq,16487.0
Raajneeti,/m/04zxn2z,16479.0
Fight Club,/m/03yvf2,16437.0
Saturday Night Fever,/m/0f50l,16414.0
Dosti: Friends Forever,/m/09qsd6,16404.0
Kasoor,/m/0969nd,16399.0
Celeste and Jesse Forever,/m/0gx8qlq,16394.0
Coach Carter,/m/04xx9s,16340.0
Kick-Ass,/m/05f4_n0,16270.0
Once,/m/027_7dd,16258.0
Friday Night Lights,/m/042zrm,16229.0
Requiem for a Dream,/m/07k2mq,16179.0
Step Brothers,/m/026mfbr,16104.0
Bewafai,/m/02qk_r6,16063.0
Cruel Intentions,/m/0n6ds,16038.0
Midnight in Paris,/m/0bs5vty,16012.0
Dangerous Ishq,/m/0gydz53,15877.0
Something Borrowed,/m/0fdhlsd,15872.0
Pyaar Kiya To Darna Kya,/m/08z0bp,15867.0
42,/m/0k2jpkj,15861.0
Peter Pan,/m/03wh35,15848.0
Only God Forgives,/m/0gx99m8,15839.0
Holes,/m/0dq626,15816.0
A Cinderella Story: Once Upon A Song,/m/0gky0pl,15796.0
1942: A Love Story,/m/07ccp2,15768.0
Shaft,/m/0k47y,15767.0
Kachche Dhaage,/m/02qz600,15758.0
Dosti,/m/0d9myl,15727.0
Bugsy Malone,/m/01sp60,15718.0
Boogie Nights,/m/02b6n9,15604.0
Alvin and the Chipmunks,/m/02r4y3t,15603.0
Podaa Podi,/m/04jj9nn,15585.0
Django,/m/09n5sx,15548.0
Urban Cowboy,/m/04g1cb,15438.0
Lost in Translation,/m/0209xj,15417.0
Chaar Din Ki Chandni,/m/0hnc5kn,15402.0
The Longest Yard,/m/095z4q,15354.0
Thalapathi,/m/086yst,15306.0
Mera Naam Joker,/m/06_50n,15260.0
Main Prem Ki Diwani Hoon,/m/08v7dt,15214.0
Grown Ups,/m/0640m69,15208.0
Kismat Konnection,/m/02x0m4z,15198.0
American Beauty,/m/0c0zq,15161.0
Jo Jeeta Wohi Sikandar,/m/08pscs,15156.0
Kanna Laddu Thinna Aasaiya,/m/0k9hzh3,15152.0
Hercules,/m/016017,15114.0
Flight,/m/0hgnl3t,15100.0
Shootout at Lokhandwala,/m/0dj3_d,15098.0
Taj Mahal,/m/0kv0qm,15098.0
Teri Meri Kahaani,/m/0h1bnl8,15097.0
Oru Kal Oru Kannadi,/m/0g5qxj3,15090.0
2001: A Space Odyssey,/m/08ct6,15072.0
Sister Act,/m/03q05j,15066.0
F.A.L.T.U,/m/0g9v8d1,15041.0
She's the Man,/m/0818gg,15031.0
Honey 2,/m/0c014wb,15025.0
Sadak,/m/03cm86p,15013.0
The Five-Year Engagement,/m/0gwxf3x,14986.0
Saattai,/m/0gwzbcs,14954.0
Muqaddar Ka Sikandar,/m/0d25zw,14936.0
